Level	No	Chinese	Pinyin	English
4	257	客厅	kètīng	A living room
4	258	肯定	kěndìng	sure
4	259	空	kōng	empty
4	260	空气	kōngqì	air
4	261	恐怕	kǒngpà	I’m afraid
4	262	苦	kǔ	bitter
4	263	矿泉水	kuàngquánshuǐ	Mineral water
4	264	困	kùn	sleepy
4	265	困难	kùnnan	difficulty
4	266	拉	lā	pull
4	267	垃圾桶	lājītǒng	Trash
4	268	辣	là	spicy
4	269	来自	láizì	Come from
4	270	来不及	láibují	There’s not enough time
4	271	来得及	láidejí	In time
4	272	懒	lǎn	lazy
4	273	浪费	làngfèi	Waste
4	274	浪漫	làngmàn	romantic
4	275	老虎	lǎohǔ	Tiger
4	276	冷静	lěngjìng	calm down
4	277	理发	lǐfà	Haircut
4	278	理解	lǐjiě	Understand
4	279	理想	lǐxiǎng	ideal
4	280	礼貌	lǐmào	politeness
4	281	礼拜天	lǐbàitiān	Sunday
4	282	厉害	lìhai	Fierce
4	283	力气	lìqi	Strength
4	284	例如	lìrú	for example
4	285	俩	liǎ	Two
4	286	连	lián	even
4	287	联系	liánxì	contact
4	288	凉快	liángkuai	Pleasantly cool
4	289	零钱	língqián	Small change
4	290	另外	lìngwài	in addition
4	291	留	liú	stay
4	292	流利	liúlì	fluent
4	293	流行	liúxíng	Popular
4	294	乱	luàn	chaos
4	295	旅行	lǚxíng	travel
4	296	律师	lǜshī	Lawyer
4	297	麻烦	máfan	trouble
4	298	马虎	mǎhu	Careless
4	299	满	mǎn	full
4	300	毛	máo	hair
4	301	毛巾	máojīn	Towel
4	302	美丽	měilì	beautiful
4	303	梦	mèng	dream
4	304	迷路	mílù	Get lost
4	305	密码	mìmǎ	Password
4	306	免费	miǎnfèi	Free of charge
4	307	秒	miǎo	second
4	308	民族	mínzú	Nation
4	309	母亲	mǔqīn	mother
4	310	目的	mùdì	objective
4	311	耐心	nàixīn	patience
4	312	难道	nándào	could it be said that …
4	313	难受	nánshòu	Uncomfortable
4	314	内	nèi	within
4	315	内容	nèiróng	content
4	316	能力	nénglì	ability
4	317	年龄	niánlíng	Age
4	318	弄	nòng	get, make
4	319	暖和	nuǎnhuo	warm
4	320	偶尔	ǒu’ěr	occasionally
4	321	排队	páiduì	queue; stand in a line
4	322	排列	páiliè	array
4	323	判断	pànduàn	judge
4	324	陪	péi	accompany
4	325	批评	pīpíng	criticism
4	326	皮肤	pífū	skin
4	327	脾气	píqi	Bad temper
4	328	篇	piān	piece
4	329	骗	piàn	fool
4	330	乒乓球	pīngpāngqiú	Table Tennis
4	331	平时	píngshí	peacetime
4	332	破	pò	broken
4	333	葡萄	pútao	Grape
4	334	普遍	pǔbiàn	universal
4	335	普通话	pǔtōnghuà	Mandarin
4	336	其次	qícì	Secondly
4	337	其中	qízhōng	among
4	338	气候	qìhòu	climate
4	339	千万	qiānwàn	Must
4	340	签证	qiānzhèng	visa
4	341	敲	qiāo	knock
4	342	桥	qiáo	Bridge
4	343	巧克力	qiǎokèlì	Chocolates
4	344	亲戚	qīnqi	Relative
4	345	轻	qīng	light
4	346	轻松	qīngsōng	Relaxed
4	347	情况	qíngkuàng	Situation
4	348	穷	qióng	poor
4	349	区别	qūbié	Difference
4	350	取	qǔ	take
4	351	全部	quánbù	whole
4	352	缺点	quēdiǎn	shortcoming
4	353	缺少	quēshǎo	Lack
4	354	却	què	but
4	355	确实	quèshí	Exactly
4	356	然而	rán’ér	however
4	357	热闹	rènao	lively
4	358	任何	rènhé	whatever, any
4	359	任务	rènwu	task
4	360	扔	rēng	throw
4	361	仍然	réngrán	still
4	362	日记	rìjì	diary
4	363	入口	rùkǒu	Entrance
4	364	散步	sànbù	Take a walk
4	365	森林	sēnlín	Forest
4	366	沙发	shāfā	Sofa
4	367	商量	shāngliang	discuss
4	368	伤心	shāngxīn	Sad
4	369	稍微	shāowēi	slightly
4	370	勺子	sháozi	Spoon
4	371	社会	shèhuì	Sociology
4	372	深	shēn	deep
4	373	申请	shēnqǐng	Apply
4	374	甚至	shènzhì	Even to the extent that
4	375	生活	shēnghuó	Life
4	376	生命	shēngmìng	life
4	377	生意	shēngyi	business
4	378	省	shěng	province
4	379	剩	shèng	Left
4	380	失败	shībài	fail
4	381	失望	shīwàng	Disappointment
4	382	师傅	shīfu	Master worker
4	383	十分	shífēn	very
4	384	实际	shíjì	Actual
4	385	实在	shízài	really
4	386	使	shǐ	make
4	387	使用	shǐyòng	Use
4	388	是否	shìfǒu	Whether
4	389	适合	shìhé	Fit
4	390	适应	shìyìng	Adapt
4	391	世纪	shìjì	century
4	392	收	shōu	collect
4	393	收入	shōurù	income
4	394	收拾	shōushi	Tidy
4	395	首都	shǒudū	capital
4	396	首先	shǒuxiān	First
4	397	受不了	shòubuliǎo	Cannot bear sth
4	398	受到	shòudào	Suffer
4	399	售货员	shòuhuòyuán	Salesperson
4	400	输	shū	lose, fail
4	401	熟悉	shúxī	be familiar with
4	402	数量	shùliàng	Number
4	403	数字	shùzì	number
4	404	帅	shuài	Handsome
4	405	顺便	shùnbiàn	Incidentally
4	406	顺利	shùnlì	smoothly
4	407	顺序	shùnxù	order
4	408	说明	shuōmíng	Explain
4	409	硕士	shuòshì	master
4	410	死	sǐ	die
4	411	速度	sùdù	speed
4	412	塑料袋	sùliàodài	Plastic bag
4	413	酸	suān	acid
4	414	随便	suíbiàn	casual
4	415	随着	suízhe	along with
4	416	孙子	sūnzi	Grandson
4	417	所有	suǒyǒu	All
4	418	台	tái	platform
4	419	抬	tái	Lift
4	420	态度	tàidu	attitude
4	421	谈	tán	talk
4	422	弹钢琴	tángāngqín	Play the piano
4	423	汤	tāng	soup
4	424	糖	táng	sugar
4	425	躺	tǎng	lie
4	426	趟	tàng	Trip
4	427	讨论	tǎolùn	discuss
4	428	讨厌	tǎoyàn	Hate
4	429	特点	tèdiǎn	Characteristic
4	430	提	tí	carry
4	431	提供	tígōng	provide
4	432	提前	tíqián	in advance
4	433	提醒	tíxǐng	remind
4	434	填空	tiánkòng	Fill in the blanks
4	435	条件	tiáojiàn	condition
4	436	停	tíng	Stop
4	437	挺	tǐng	quite
4	438	通过	tōngguò	through
4	439	通知	tōngzhī	notice
4	440	同时	tóngshí	meanwhile
4	441	同情	tóngqíng	Sympathy
4	442	推	tuī	push
4	443	推迟	tuīchí	delay
4	444	脱	tuō	take off
4	445	袜子	wàzi	Socks
4	446	完全	wánquán	completely
4	447	往往	wǎngwǎng	Often
4	448	网球	wǎngqiú	Tennis
4	449	网站	wǎngzhàn	website
4	450	危险	wēixiǎn	danger
4	451	味道	wèidào	taste
4	452	卫生间	wèishēngjiān	toilet
4	453	温度	wēndù	temperature
4	454	文章	wénzhāng	Article
4	455	污染	wūrǎn	contaminated
4	456	无	wú	nothing
4	457	无聊	wúliáo	Boring
4	458	无论	wúlùn	no matter what
4	459	误会	wùhuì	Misunderstanding
4	460	西红柿	xīhóngshì	Tomato
4	461	吸引	xīyǐn	Attract
4	462	咸	xián	salty
4	463	现金	xiànjīn	cash
4	464	羡慕	xiànmù	Envy
4	465	香	xiāng	fragrant
4	466	相反	xiāngfǎn	Contrary
4	467	相同	xiāngtóng	identical
4	468	详细	xiángxì	detailed
4	469	响	xiǎng	ring
4	470	橡皮	xiàngpí	rubber
4	471	消息	xiāoxi	message
4	472	小吃	xiǎochī	snack
4	473	小伙子	xiǎohuǒzi	Young fellow
4	474	小说	xiǎoshuō	Novel
4	475	笑话	xiàohua	joke
4	476	效果	xiàoguǒ	Effect
4	477	辛苦	xīnkǔ	hard
4	478	心情	xīnqíng	mood
4	479	信封	xìnfēng	envelope
4	480	信息	xìnxī	information
4	481	信心	xìnxīn	confidence
4	482	兴奋	xīngfèn	Excitement
4	483	行	xíng	That’s ok
4	484	醒	xǐng	wake up
4	485	性别	xìngbié	Gender
4	486	性格	xìnggé	character
4	487	幸福	xìngfú	happiness
4	488	修理	xiūlǐ	repair
4	489	许多	xǔduō	many
4	490	学期	xuéqī	Semester
4	491	压力	yālì	pressure
4	492	牙膏	yágāo	toothpaste
4	493	亚洲	yàzhōu	Asia
4	494	呀	ya	ah
4	495	盐	yán	salt
4	496	严格	yángé	strict
4	497	严重	yánzhòng	serious
4	498	研究	yánjiū	research
4	499	演出	yǎnchū	show
4	500	演员	yǎnyuán	performer, actor
4	501	眼镜	yǎnjìng	glasses
4	502	阳光	yángguāng	Sunshine
4	503	养成	yǎngchéng	Cultivate
4	504	样子	yàngzi	A look
4	505	邀请	yāoqǐng	Invitation
4	506	要是	yàoshi	If
4	507	钥匙	yàoshi	Key
4	508	也许	yěxǔ	perhaps
4	509	页	yè	page
4	510	叶子	yèzi	Leaf
4	511	一切	yíqiè	everything
4	512	以	yǐ	with
4	513	以为	yǐwéi	Think
4	514	意见	yìjiàn	Opinion
4	515	艺术	yìshù	Art
4	516	因此	yīncǐ	therefore
4	517	引起	yǐnqǐ	cause
4	518	印象	yìnxiàng	impression
4	519	应聘	yìngpìn	Apply for
4	520	赢	yíng	win
4	521	勇敢	yǒnggǎn	Brave
4	522	永远	yǒngyuǎn	forever
4	523	优点	yōudiǎn	Advantage
4	524	优秀	yōuxiù	excellent
4	525	幽默	yōumò	Humor
4	526	由	yóu	from
4	527	由于	yóuyú	Because
4	528	邮局	yóujú	Post Office
4	529	尤其	yóuqí	especially
4	530	有趣	yǒuqù	interesting
4	531	友好	yǒuhǎo	friendly
4	532	友谊	yǒuyì	friendship
4	533	愉快	yúkuài	Cheerful
4	534	于是	yúshì	Therefore
4	535	与	yǔ	and
4	536	语法	yǔfǎ	grammar
4	537	语言	yǔyán	language
4	538	羽毛球	yǔmáoqiú	Badminton
4	539	预习	yùxí	Preview
4	540	原来	yuánlái	Original
4	541	原谅	yuánliàng	Forgive
4	542	原因	yuányīn	Reason
4	543	约会	yuēhuì	Date
4	544	阅读	yuèdú	Read
4	545	云	yún	cloud
4	546	允许	yǔnxǔ	allow
4	547	杂志	zázhì	Magazine
4	548	咱们	zánmen	We
4	549	暂时	zànshí	temporary
4	550	脏	zāng	dirty
4	551	责任	zérèn	responsibility
4	552	增加	zēngjiā	increase
4	553	占线	zhànxiàn	(line) Busy
4	554	招聘	zhāopìn	recruit
4	555	照	zhào	reflect
4	556	真正	zhēnzhèng	real
4	557	整理	zhěnglǐ	Arrangement
4	558	正常	zhèngcháng	normal
4	559	正好	zhènghǎo	Just right
4	560	正确	zhèngquè	Correct
4	561	正式	zhèngshì	formal
4	562	证明	zhèngmíng	Prove
4	563	之	zhī	of
4	564	支持	zhīchí	Support
4	565	知识	zhīshi	knowledge
4	566	值得	zhídé	Worth
4	567	直接	zhíjiē	direct
4	568	植物	zhíwù	Botany, plant
4	569	职业	zhíyè	Occupation
4	570	指	zhǐ	finger, to point
4	571	只好	zhǐhǎo	have to
4	572	只要	zhǐyào	as long as
4	573	质量	zhìliàng	quality
4	574	至少	zhìshǎo	at least
4	575	重	zhòng	heavy
4	576	重点	zhòngdiǎn	A key
4	577	重视	zhòngshì	importance, attach importance to
4	578	周围	zhōuwéi	around
4	579	主意	zhǔyi	idea
4	580	祝贺	zhùhè	Congratulate
4	581	著名	zhùmíng	famous
4	582	专门	zhuānmén	specialized
4	583	专业	zhuānyè	major
4	584	转	zhuàn	turn
4	585	赚	zhuàn	earn
4	586	准确	zhǔnquè	accuracy
4	587	准时	zhǔnshí	on time
4	588	仔细	zǐxì	careful
4	589	自然	zìrán	natural
4	590	自信	zìxìn	self-confidence
4	591	总结	zǒngjié	summary
4	592	租	zū	rent
4	593	最好	zuìhǎo	Best
4	594	尊重	zūnzhòng	respect
4	595	左右	zuǒyòu	About
4	596	座	zuò	Seat
4	597	作家	zuòjiā	writer
4	598	座位	zuòwèi	seat
4	599	作用	zuòyòng	Effect
4	600	作者	zuòzhě	author
5	1	唉	āi	alas
5	2	爱心	àixīn	love
5	3	安慰	ānwèi	comfort
5	4	岸	àn	bank
5	5	熬夜	áoyè	stay up late
5	6	包含	bāohán	Contain
5	7	宝贵	bǎoguì	valuable
5	8	保存	bǎocún	Preservation
5	9	保留	bǎoliú	Retain
5	10	报到	bàodào	register,check in
5	11	报告	bàogào	Presentation
5	12	悲观	bēiguān	Pessimism
5	13	背景	bèijǐng	background
5	14	被子	bèizi	quilt
5	15	本科	běnkē	Undergraduate
5	16	本领	běnlǐng	ability
5	17	比例	bǐlì	Proportion
5	18	必然	bìrán	Inevitable
5	19	必要	bìyào	necessary
5	20	鞭炮	biānpào	firecracker
5	21	辩论	biànlùn	Debate
5	22	标志	biāozhì	sign
5	23	表达	biǎodá	Expression
5	24	表面	biǎomiàn	surface
5	25	表情	biǎoqíng	Expression
5	26	表现	biǎoxiàn	performance
5	27	冰激凌	bīngjīlíng	ice cream
5	28	玻璃	bōli	Glass
5	29	博物馆	bówùguǎn	Museum
5	30	不断	búduàn	Constantly
5	31	不见得	bújiàndé	Not necessarily
5	32	不耐烦	búnàifán	Impatient
5	33	补充	bǔchōng	supplement
5	34	不然	bùrán	otherwise
5	35	不足	bùzú	insufficient
5	36	部门	bùmén	department
5	37	财产	cáichǎn	property
5	38	踩	cǎi	step on
5	39	采取	cǎiqǔ	take, adopt
5	40	参考	cānkǎo	Reference resources
5	41	操场	cāochǎng	Playground
5	42	插	chā	insert
5	43	叉子	chāzi	Fork
5	44	拆	chāi	Remove
5	45	产生	chǎnshēng	produce
5	46	常识	chángshí	common sense
5	47	潮湿	cháoshī	damp
5	48	吵	chǎo	Noisy
5	49	车库	chēkù	Garage
5	50	彻底	chèdǐ	thorough
5	51	趁	chèn	while
5	52	称	chēng	call
5	53	称赞	chēngzàn	Praise
5	54	承担	chéngdān	bear
5	55	承受	chéngshòu	bear
5	56	程序	chéngxù	program
5	57	成立	chénglì	establish
5	58	成人	chéngrén	adult
5	59	成语	chéngyǔ	idiom
5	60	诚恳	chéngkěn	sincere
5	61	持续	chíxù	Continued
5	62	尺子	chǐzi	Ruler
5	63	冲	chōng	punching
5	64	充分	chōngfèn	To the full
5	65	重复	chóngfù	repeat
5	66	宠物	chǒngwù	Pet
5	67	抽象	chōuxiàng	abstract
5	68	丑	chǒu	ugly
5	69	出口	chūkǒu	Exit
5	70	出示	chūshì	show
5	71	出席	chūxí	Attend
5	72	除非	chúfēi	Unless
5	73	除夕	chúxī	the New Year’s Eve
5	74	处理	chǔlǐ	Handle
5	75	传染	chuánrǎn	contagion
5	76	传统	chuántǒng	tradition
5	77	闯	chuǎng	rush; dash
5	78	吹	chuī	blow
5	79	此外	cǐwài	in addition
5	80	次要	cìyào	secondary
5	81	匆忙	cōngmáng	hastily
5	82	从而	cóng’ér	thus
5	83	从前	cóngqián	before
5	84	粗糙	cūcāo	rough
5	85	醋	cù	vinegar
5	86	促使	cùshǐ	Urge
5	87	措施	cuòshī	Measures
5	88	打工	dǎgōng	Work
5	89	大厦	dàshà	Large building
5	90	大象	dàxiàng	Elephant
5	91	代表	dàibiǎo	representative
5	92	待遇	dàiyù	treatment
5	93	单调	dāndiào	monotonous
5	94	单位	dānwèi	Company
5	95	担任	dānrèn	To serve as
5	96	耽误	dānwu	delay
5	97	淡	dàn	light
5	98	倒霉	dǎoméi	fall on evil days
5	99	道理	dàolǐ	truth
5	100	登记	dēngjì	register
5	101	等于	děngyú	Be equal to
5	102	滴	dī	drop
5	103	敌人	dírén	Enemy
5	104	递	dì	Delivery
5	105	地毯	dìtǎn	Carpet
5	106	地震	dìzhèn	earthquake
5	107	电池	diànchí	Battery
5	108	顶	dǐng	top
5	109	冻	dòng	freeze
5	110	动画片	dònghuàpiàn	Cartoon
5	111	逗	dòu	Funny
5	112	独特	dútè	unique
5	113	度过	dùguò	Spend
5	114	对比	duìbǐ	Contrast
5	115	对待	duìdài	treat
5	116	对手	duìshǒu	Opponent
5	117	吨	dūn	ton
5	118	顿	dùn	Meal
5	119	多亏	duōkuī	thanks to
5	120	朵	duǒ	classifier of flower
5	121	发表	fābiǎo	Publish
5	122	发达	fādá	To develop
5	123	发挥	fāhuī	Develop
5	124	发票	fāpiào	invoice
5	125	发言	fāyán	give a speech
5	126	罚款	fákuǎn	forfeit; amerce; fine
5	127	法院	fǎyuàn	Court
5	128	繁荣	fánróng	Boom
5	129	反而	fǎn’ér	Instead
5	130	反应	fǎnyìng	reaction
5	131	反正	fǎnzhèng	anyway
5	132	范围	fànwéi	Range
5	133	方案	fāng’àn	programme
5	134	方式	fāngshì	mode
5	135	妨碍	fáng’ài	Hinder
5	136	肥皂	féizào	soap
5	137	分布	fēnbù	distribution
5	138	分手	fēnshǒu	Break up
5	139	风景	fēngjǐng	Scenery
5	140	风险	fēngxiǎn	risk
5	141	讽刺	fěngcì	satire
5	142	否认	fǒurèn	deny
5	143	扶	fú	hold up
5	144	复制	fùzhì	copy
5	145	改进	gǎijìn	Improvement
5	146	改正	gǎizhèng	correction
5	147	概括	gàikuò	Generalization
5	148	感想	gǎnxiǎng	Feel
5	149	赶快	gǎnkuài	hurry up
5	150	干活儿	gànhuór	work on a job
5	151	高级	gāojí	senior
5	152	告别	gàobié	farewell
5	153	隔壁	gébì	next door
5	154	个人	gèrén	personal
5	155	各自	gèzì	Each
5	156	根本	gēnběn	at all
5	157	公开	gōngkāi	open
5	158	公平	gōngpíng	fair
5	159	公寓	gōngyù	apartment
5	160	工厂	gōngchǎng	factory
5	161	工具	gōngjù	tool
5	162	工业	gōngyè	Industry
5	163	功能	gōngnéng	function
5	164	沟通	gōutōng	Communicate
5	165	姑娘	gūniang	girl
5	166	古代	gǔdài	Ancient
5	167	鼓掌	gǔzhǎng	applause
5	168	骨头	gǔtou	Bone
5	169	乖	guāi	Good behaved
5	170	怪不得	guàibude	No wonder
5	171	观察	guānchá	observation
5	172	观念	guānniàn	concept
5	173	冠军	guànjūn	Champion
5	174	光滑	guānghuá	smooth
5	175	光明	guāngmíng	light
5	176	广大	guǎngdà	Vast
5	177	规律	guīlǜ	Law
5	178	规则	guīzé	rule
5	179	滚	gǔn	rolling
5	180	国庆节	guóqìngjié	National Day
5	181	果实	guǒshí	fruit
5	182	过敏	guòmǐn	allergy
5	183	海鲜	hǎixiān	seafood
5	184	豪华	háohuá	luxury
5	185	好奇	hàoqí	Be curious
5	186	何必	hébì	Why
5	187	合法	héfǎ	legitimate
5	188	合理	hélǐ	reasonable
5	189	合同	hétong	contract
5	190	合作	hézuò	cooperation
5	191	恨	hèn	hate
5	192	猴子	hóuzi	Monkey
5	193	后背	hòubèi	back
5	194	忽视	hūshì	Ignore
5	195	壶	hú	pot
5	196	胡说	húshuō	Nonsense
5	197	糊涂	hútu	Confused
5	198	花生	huāshēng	peanut
5	199	划	huá	Rowing
5	200	话题	huàtí	Topic of conversation
5	201	怀念	huáiniàn	miss
5	202	怀孕	huáiyùn	become pregnant
5	203	慌张	huāngzhāng	flurried
5	204	黄金	huángjīn	gold
5	205	灰	huī	ash
5	206	灰心	huīxīn	Lose heart; be discouraged
5	207	婚礼	hūnlǐ	wedding
5	208	活跃	huóyuè	active
5	209	伙伴	huǒbàn	Partner
5	210	或许	huòxǔ	maybe; probably
5	211	基本	jīběn	basic
5	212	机器	jīqì	machine
5	213	及格	jígé	pass
5	214	集合	jíhé	aggregate
5	215	集中	jízhōng	focus
5	216	急诊	jízhěn	emergency
5	217	记忆	jìyì	memory
5	218	纪录	jìlù	Record
5	219	纪念	jìniàn	memorialize
5	220	家务	jiāwù	Housework
5	221	嘉宾	jiābīn	Distinguished guest
5	222	甲	jiǎ	nail
5	223	假如	jiǎrú	If
5	224	假装	jiǎzhuāng	pretend
5	225	驾驶	jiàshǐ	Drive
5	226	坚强	jiānqiáng	Firm
5	227	艰苦	jiānkǔ	hard
5	228	捡	jiǎn	pick up
5	229	简直	jiǎnzhí	simply
5	230	健身	jiànshēn	workout
5	231	建设	jiànshè	build
5	232	建筑	jiànzhù	Architecture
5	233	键盘	jiànpán	keyboard
5	234	讲座	jiǎngzuò	Lecture
5	235	酱油	jiàngyóu	soy sauce
5	236	浇	jiāo	pour it over
5	237	交换	jiāohuàn	exchange
5	238	交往	jiāowǎng	affiliate with
5	239	角度	jiǎodù	angle
5	240	教材	jiàocái	teaching material
5	241	教训	jiàoxùn	lesson
5	242	接待	jiēdài	Reception
5	243	结实	jiēshi	strong
5	244	节省	jiéshěng	save
5	245	结构	jiégòu	structure
5	246	结合	jiéhé	Combination
5	247	结论	jiélùn	conclusion
5	248	结账	jiézhàng	Checkout
5	249	届	jiè	Session
5	250	借口	jièkǒu	Excuse
5	251	戒	jiè	Quit
5	252	紧急	jǐnjí	urgent
5	253	尽快	jǐnkuài	as soon as possible
5	254	谨慎	jǐnshèn	cautious
5	255	进步	jìnbù	progress
5	256	近代	jìndài	Modern
5	257	尽量	jìnliàng	as far as possible
5	258	精神	jīngshén	spirit
5	259	经典	jīngdiǎn	classics; scriptures
5	260	救	jiù	save
5	261	舅舅	jiùjiu	uncle
5	262	桔子	júzi	Orange
5	263	具备	jùbèi	Have, possess
5	264	巨大	jùdà	huge
5	265	决赛	juésài	Finals
5	266	绝对	juéduì	Absolutely
5	267	军事	jūnshì	Military
5	268	开放	kāifàng	To open up
5	269	开水	kāishuǐ	Boiling water
5	270	砍	kǎn	cut
5	271	看不起	kànbuqǐ	Despise
5	272	可见	kějiàn	so; it`s thus clear
5	273	可怕	kěpà	dreadful
5	274	克	kè	gram
5	275	客观	kèguān	objective
5	276	控制	kòngzhì	control
5	277	口味	kǒuwèi	Flavor
5	278	夸	kuā	boast, praise
5	279	扩大	kuòdà	Expand
5	280	辣椒	làjiāo	Pepper, spice
5	281	烂	làn	rotten
5	282	劳动	láodòng	labour
5	283	老板	lǎobǎn	Boss
5	284	老鼠	lǎoshǔ	Mouse
5	285	姥姥	lǎolao	Grandma
5	286	理论	lǐlùn	theory
5	287	理由	lǐyóu	Reason
5	288	立刻	lìkè	immediately
5	289	力量	lìliàng	Power
5	290	利息	lìxī	accrual; interest
5	291	利用	lìyòng	utilize
5	292	连忙	liánmáng	Hurriedly
5	293	联合	liánhé	union
5	294	了不起	liǎobuqǐ	Amazing
5	295	列车	lièchē	train
5	296	临时	línshí	temporary
5	297	灵活	línghuó	flexible
5	298	领域	lǐngyù	field
5	299	流传	liúchuán	spread
5	300	浏览	liúlǎn	browse
5	301	龙	lóng	dragon
5	302	漏	lòu	leak
5	303	陆地	lùdì	land
5	304	录取	lùqǔ	matriculate
5	305	论文	lùnwén	paper
5	306	落后	luòhòu	backward, fall behind
5	307	骂	mà	scold
5	308	麦克风	màikèfēng	Microphone
5	309	满足	mǎnzú	satisfy
5	310	冒险	màoxiǎn	adventure
5	311	眉毛	méimao	eyebrow
5	312	美术	měishù	Fine Arts
5	313	秘密	mìmì	Secret
5	314	面对	miànduì	Face
5	315	面临	miànlín	face
5	316	苗条	miáotiao	slim
5	317	明确	míngquè	To make clear
5	318	明显	míngxiǎn	obvious
5	319	名牌	míngpái	famous brand
5	320	名胜古迹	míngshènggǔjì	Places of historic interest and scenic beauty
5	321	命令	mìnglìng	call; nominate
5	322	摸	mō	feel, touch
5	323	模糊	móhu	vague
5	324	摩托车	mótuōchē	Motorcycle
5	325	某	mǒu	some
5	326	目标	mùbiāo	target
5	327	目录	mùlù	Catalog
5	328	木头	mùtou	wood
5	329	哪怕	nǎpà	even if
5	330	难免	nánmiǎn	Unavoidable
5	331	脑袋	nǎodai	head
5	332	内科	nèikē	Internal medicine
5	333	嫩	nèn	tender, delicate
5	334	能干	nénggàn	capable
5	335	能源	néngyuán	energy
5	336	年代	niándài	years
5	337	年纪	niánjì	Age
5	338	宁可	nìngkě	would rather
5	339	牛仔裤	niúzǎikù	Jeans
5	340	农村	nóngcūn	countryside
5	341	农业	nóngyè	Agriculture
5	342	女士	nǚshì	Madam
5	343	派	pài	send
5	344	赔偿	péicháng	compensate for
5	345	培养	péiyǎng	culture, foster
5	346	配合	pèihé	Coordination
5	347	披	pī	drape over one`s shoulders
5	348	片面	piànmiàn	one-sided
5	349	拼音	pīnyīn	pinyin
5	350	平	píng	flat
5	351	平常	píngcháng	Usual
5	352	平方	píngfāng	square
5	353	平静	píngjìng	calm
5	354	评价	píngjià	evaluate
5	355	破坏	pòhuài	Destruction
5	356	期待	qīdài	expect
5	357	奇迹	qíjì	Miracle
5	358	启发	qǐfā	Inspire
5	359	气氛	qìfēn	atmosphere
5	360	汽油	qìyóu	gasoline
5	361	谦虚	qiānxū	Modest
5	362	签	qiān	Sign
5	363	浅	qiǎn	shallow
5	364	枪	qiāng	gun
5	365	强调	qiángdiào	Emphasize
5	366	抢	qiǎng	rob
5	367	悄悄	qiāoqiāo	quietly
5	368	瞧	qiáo	look
5	369	巧妙	qiǎomiào	clever
5	370	亲爱	qīn’ài	Dear
5	371	亲切	qīnqiè	kind
5	372	勤奋	qínfèn	hardworking
5	373	青春	qīngchūn	Youth
5	374	轻视	qīngshì	Despise
5	375	请求	qǐngqiú	request
5	376	球迷	qiúmí	fans
5	377	趋势	qūshì	trend
5	378	去世	qùshì	pass away
5	379	权力	quánlì	power
5	380	劝	quàn	persuade
5	381	缺乏	quēfá	Lack
5	382	确认	quèrèn	confirm
5	383	群	qún	group
5	384	燃烧	ránshāo	burning
5	385	绕	rào	Around
5	386	热爱	rè’ài	Ardently love
5	387	热心	rèxīn	enthusiastic
5	388	人才	réncái	talented people
5	389	人类	rénlèi	Human beings
5	390	人生	rénshēng	Life
5	391	人物	rénwù	character
5	392	忍不住	rěnbuzhù	Unable to bear
5	393	日程	rìchéng	schedule
5	394	日历	rìlì	calendar
5	395	日用品	rìyòngpǐn	Daily Necessities
5	396	如何	rúhé	How
5	397	软件	ruǎnjiàn	Software
5	398	洒	sǎ	sprinkle
5	399	嗓子	sǎngzi	throat
5	400	沙滩	shātān	beach
5	401	晒	shài	The sun
5	402	闪电	shǎndiàn	lightning
5	403	善于	shànyú	be good at
5	404	商品	shāngpǐn	commodity
5	405	商务	shāngwù	business
5	406	伤害	shānghài	hurt
5	407	舍不得	shěbude	Hate to part with or use
5	408	设计	shèjì	Design
5	409	摄影	shèyǐng	Photography
5	410	伸	shēn	stretch
5	411	深刻	shēnkè	profound
5	412	身份	shēnfèn	identity
5	413	神秘	shénmì	mysterious
5	414	生动	shēngdòng	vivid
5	415	生长	shēngzhǎng	grow
5	416	诗	shī	poetry
5	417	失眠	shīmián	insomnia
5	418	狮子	shīzi	Lion
5	419	时代	shídài	times, epoch
5	420	时髦	shímáo	Fashionable
5	421	时尚	shíshàng	fashion
5	422	实习	shíxí	Internship
5	423	实验	shíyàn	Experiment
5	424	石头	shítou	stone
5	425	使劲儿	shǐjìnr	exert all one’s strength
5	426	始终	shǐzhōng	Throughout
5	427	试卷	shìjuàn	test paper
5	428	市场	shìchǎng	market
5	429	事物	shìwù	Thing
5	430	收据	shōujù	receipt
5	431	手工	shǒugōng	manual
5	432	手术	shǒushù	Operation
5	433	手续	shǒuxù	procedures
5	434	首	shǒu	head, chief
5	435	受伤	shòushāng	Injured
5	436	寿命	shòumìng	Life
5	437	书架	shūjià	bookshelf
5	438	输入	shūrù	import; input
5	439	熟练	shúliàn	skilled
5	440	鼠标	shǔbiāo	mouse
5	441	数据	shùjù	data
5	442	数码	shùmǎ	Digital
5	443	摔倒	shuāidǎo	fall
5	444	双方	shuāngfāng	both sides
5	445	税	shuì	tax
5	446	说服	shuōfú	Persuade
5	447	丝绸	sīchóu	silk
5	448	思想	sīxiǎng	thought
5	449	似乎	sìhū	It seems that
5	450	随身	suíshēn	Carry on
5	451	碎	suì	broken
5	452	损失	sǔnshī	loss
5	453	锁	suǒ	lock
5	454	台阶	táijiē	Steps
5	455	太极拳	tàijíquán	Taiji boxing
5	456	逃	táo	flee
5	457	淘气	táoqì	naughty
5	458	讨价还价	tǎojiàhuánjià	bargain
5	459	套	tào	set
